-0.037162,-0.0375
-0.0371488,-0.037235
-0.0371355,-0.03697
-0.0371223,-0.0367051
-0.037109,-0.0364401
-0.0370958,-0.0361751
-0.0370825,-0.0359101
-0.0370693,-0.0356452
-0.037056,-0.0353802
-0.0370428,-0.0351152
-0.0370295,-0.0348502
-0.0370163,-0.0345853
-0.037003,-0.0343203
-0.0369898,-0.0340553
-0.0369765,-0.0337903
-0.0369633,-0.0335253
-0.03695,-0.0332604
-0.0369368,-0.0329954
-0.0369235,-0.0327304
-0.0369103,-0.0324654
-0.036897,-0.0322005
-0.0368838,-0.0319355
-0.0368705,-0.0316705
-0.0368573,-0.0314055
-0.036844,-0.0311405
-0.0368308,-0.0308756
-0.0368175,-0.0306106
-0.0368043,-0.0303456
-0.036791,-0.0300806
-0.0367778,-0.0298157
-0.0367645,-0.0295507
-0.0367513,-0.0292857
-0.0367381,-0.0290207
-0.0367248,-0.0287558
-0.0367116,-0.0284908
-0.0366983,-0.0282258
-0.0366851,-0.0279608
-0.0366718,-0.0276958
-0.0366586,-0.0274309
-0.0366453,-0.0271659
-0.0366321,-0.0269009
-0.0366188,-0.0266359
-0.0366056,-0.026371
-0.0365923,-0.026106
-0.0365791,-0.025841
-0.0365658,-0.025576
-0.0365526,-0.0253111
-0.0365393,-0.0250461
-0.0365261,-0.0247811
-0.0365128,-0.0245161
-0.0364996,-0.0242511
-0.0364863,-0.0239862
-0.0364731,-0.0237212
-0.0364598,-0.0234562
-0.0364466,-0.0231912
-0.0364333,-0.0229263
-0.0364201,-0.0226613
-0.0364068,-0.0223963
-0.0363936,-0.0221313
-0.0363803,-0.0218664
-0.0363671,-0.0216014
-0.0363538,-0.0213364
-0.0363406,-0.0210714
-0.0363273,-0.0208064
-0.0363141,-0.0205415
-0.0363009,-0.0202764
-0.0362876,-0.0200115
-0.0362743,-0.0197464
-0.0362611,-0.0194816
-0.0362478,-0.0192166
-0.0362345,-0.0189516
-0.0362213,-0.018687
-0.036208,-0.0184218
-0.0361949,-0.018157
-0.0361817,-0.0178916
-0.0361686,-0.0176265
-0.0361554,-0.017361
-0.0361421,-0.0170957
-0.0361287,-0.0168307
-0.0361151,-0.0165661
-0.0361015,-0.0163023
-0.0360878,-0.0160374
-0.0360745,-0.015777
-0.0360614,-0.0155091
-0.0360492,-0.0152456
-0.0360373,-0.0149771
-0.0360249,-0.0147024
-0.0360124,-0.0144438
-0.0359957,-0.0141581
-0.0359778,-0.0139085
-0.0359531,-0.0136306
-0.0359258,-0.0133791
-0.0358912,-0.0131104
-0.0358528,-0.0128537
-0.035808,-0.0125913
-0.0357583,-0.0123323
-0.0357035,-0.0120747
-0.0356427,-0.011815
-0.0355779,-0.0115618
-0.0355061,-0.0113031
-0.0354315,-0.0110539
-0.0353488,-0.0107971
-0.0352644,-0.0105522
-0.035171,-0.010298
-0.0350766,-0.0100564
-0.0349731,-0.00980658
-0.0348681,-0.00956733
-0.0347552,-0.00932361
-0.03464,-0.00908752
-0.0345179,-0.00884993
-0.0343925,-0.00861765
-0.0342615,-0.00838629
-0.0341262,-0.00815845
-0.0339863,-0.00793349
-0.0338414,-0.00771064
-0.033693,-0.00749226
-0.0335387,-0.00727492
-0.0333819,-0.00706333
-0.0332185,-0.00685199
-0.0330535,-0.00664741
-0.0328813,-0.00644253
-0.0327083,-0.00624495
-0.0325278,-0.0060472
-0.0323463,-0.00585631
-0.0321585,-0.00566666
-0.0319689,-0.00548288
-0.0317739,-0.00530151
-0.0315766,-0.00512525
-0.0313749,-0.00495237
-0.0311701,-0.004784
-0.0309619,-0.0046198
-0.0307501,-0.00445967
-0.0305357,-0.00430434
-0.0303173,-0.00415279
-0.030097,-0.00400653
-0.0298723,-0.00386385
-0.0296465,-0.00372685
-0.029416,-0.00359333
-0.0291849,-0.00346571
-0.0289491,-0.00334167
-0.0287126,-0.00322342
-0.0284722,-0.00310928
-0.0282309,-0.00300064
-0.0279864,-0.00289654
-0.0277405,-0.00279774
-0.0274922,-0.00270378
-0.0272424,-0.00261505
-0.0269906,-0.0025314
-0.0267372,-0.00245274
-0.0264824,-0.00237944
-0.0262259,-0.00231176
-0.0259685,-0.00224874
-0.0257102,-0.00218823
-0.0254516,-0.00212913
-0.0251928,-0.00207075
-0.0249339,-0.00201313
-0.0246746,-0.00195638
-0.0244153,-0.00190054
-0.0241557,-0.00184553
-0.023896,-0.00179139
-0.0236361,-0.0017381
-0.0233761,-0.00168569
-0.0231158,-0.00163413
-0.0228554,-0.00158344
-0.0225948,-0.00153361
-0.022334,-0.00148465
-0.0220731,-0.00143655
-0.021812,-0.00138931
-0.0215509,-0.00134295
-0.0212894,-0.00129745
-0.021028,-0.00125282
-0.0207662,-0.00120905
-0.0205045,-0.00116616
-0.0202425,-0.00112412
-0.0199804,-0.00108296
-0.0197181,-0.00104267
-0.0194558,-0.00100325
-0.0191933,-0.000964695
-0.0189307,-0.000927018
-0.0186679,-0.000890207
-0.0184051,-0.00085427
-0.0181421,-0.000819204
-0.017879,-0.00078501
-0.0176158,-0.000751691
-0.0173525,-0.000719241
-0.0170891,-0.00068767
-0.0168255,-0.000656967
-0.0165619,-0.000627144
-0.0162982,-0.000598188
-0.0160344,-0.000570115
-0.0157705,-0.000542909
-0.0155065,-0.000516586
-0.0152424,-0.000491132
-0.0149782,-0.000466559
-0.014714,-0.000442858
-0.0144497,-0.000420037
-0.0141853,-0.00039809
-0.0139208,-0.000377022
-0.0136563,-0.00035683
-0.0133916,-0.000337516
-0.013127,-0.000319079
-0.0128623,-0.00030152
-0.0125975,-0.00028484
-0.0123326,-0.000269036
-0.0120678,-0.000254113
-0.0118028,-0.00024007
-0.0115379,-0.000226901
-0.0112728,-0.0002146
-0.0110078,-0.000203207
-0.0107427,-0.000192719
-0.0104775,-0.000182991
-0.0102124,-0.000173823
-0.00994723,-0.00016497
-0.00968206,-0.000156289
-0.00941689,-0.000147829
-0.0091517,-0.00013962
-0.00888652,-0.000131647
-0.00862132,-0.000123905
-0.00835612,-0.000116397
-0.00809091,-0.000109125
-0.0078257,-0.000102087
-0.00756048,-9.52832e-05
-0.00729525,-8.87142e-05
-0.00703002,-8.23799e-05
-0.00676478,-7.62801e-05
-0.00649954,-7.04149e-05
-0.00623429,-6.47842e-05
-0.00596904,-5.93882e-05
-0.00570378,-5.42267e-05
-0.00543852,-4.92998e-05
-0.00517325,-4.46075e-05
-0.00490798,-4.01498e-05
-0.0046427,-3.59267e-05
-0.00437743,-3.19381e-05
-0.00411214,-2.81842e-05
-0.00384686,-2.46649e-05
-0.00358157,-2.13802e-05
-0.00331628,-1.83301e-05
-0.00305099,-1.55146e-05
-0.00278569,-1.29338e-05
-0.0025204,-1.05875e-05
-0.0022551,-8.47589e-06
-0.0019898,-6.59888e-06
-0.00172449,-4.9565e-06
-0.00145919,-3.54874e-06
-0.00119388,-2.3756e-06
-0.000928577,-1.43709e-06
-0.000663269,-7.33211e-07
-0.000397962,-2.63956e-07
-0.000132654,-2.93284e-08
0.000132654,-2.93284e-08
0.000397962,-2.63956e-07
0.000663269,-7.33211e-07
0.000928577,-1.43709e-06
0.00119388,-2.3756e-06
0.00145919,-3.54874e-06
0.00172449,-4.9565e-06
0.0019898,-6.59888e-06
0.0022551,-8.47589e-06
0.0025204,-1.05875e-05
0.00278569,-1.29338e-05
0.00305099,-1.55146e-05
0.00331628,-1.83301e-05
0.00358157,-2.13802e-05
0.00384686,-2.46649e-05
0.00411214,-2.81842e-05
0.00437743,-3.19381e-05
0.0046427,-3.59267e-05
0.00490798,-4.01498e-05
0.00517325,-4.46075e-05
0.00543852,-4.92998e-05
0.00570378,-5.42267e-05
0.00596904,-5.93882e-05
0.00623429,-6.47842e-05
0.00649954,-7.04149e-05
0.00676478,-7.62801e-05
0.00703002,-8.23799e-05
0.00729525,-8.87142e-05
0.00756048,-9.52832e-05
0.0078257,-0.000102087
0.00809091,-0.000109125
0.00835612,-0.000116397
0.00862132,-0.000123905
0.00888652,-0.000131647
0.0091517,-0.00013962
0.00941689,-0.000147829
0.00968206,-0.000156289
0.00994723,-0.00016497
0.0102124,-0.000173823
0.0104775,-0.000182991
0.0107427,-0.000192719
0.0110078,-0.000203207
0.0112728,-0.0002146
0.0115379,-0.000226901
0.0118028,-0.00024007
0.0120678,-0.000254113
0.0123326,-0.000269036
0.0125975,-0.00028484
0.0128623,-0.00030152
0.013127,-0.000319079
0.0133916,-0.000337516
0.0136563,-0.00035683
0.0139208,-0.000377022
0.0141853,-0.00039809
0.0144497,-0.000420037
0.014714,-0.000442858
0.0149782,-0.000466559
0.0152424,-0.000491132
0.0155065,-0.000516586
0.0157705,-0.000542909
0.0160344,-0.000570115
0.0162982,-0.000598188
0.0165619,-0.000627144
0.0168255,-0.000656967
0.0170891,-0.00068767
0.0173525,-0.000719241
0.0176158,-0.000751691
0.017879,-0.00078501
0.0181421,-0.000819204
0.0184051,-0.00085427
0.0186679,-0.000890207
0.0189307,-0.000927018
0.0191933,-0.000964695
0.0194558,-0.00100325
0.0197181,-0.00104267
0.0199804,-0.00108296
0.0202425,-0.00112412
0.0205045,-0.00116616
0.0207662,-0.00120905
0.021028,-0.00125282
0.0212894,-0.00129745
0.0215509,-0.00134295
0.021812,-0.00138931
0.0220731,-0.00143655
0.022334,-0.00148465
0.0225948,-0.00153361
0.0228554,-0.00158344
0.0231158,-0.00163413
0.0233761,-0.00168569
0.0236361,-0.0017381
0.023896,-0.00179139
0.0241557,-0.00184553
0.0244153,-0.00190054
0.0246746,-0.00195638
0.0249339,-0.00201313
0.0251928,-0.00207075
0.0254516,-0.00212913
0.0257102,-0.00218823
0.0259685,-0.00224874
0.0262259,-0.00231176
0.0264824,-0.00237944
0.0267372,-0.00245274
0.0269906,-0.0025314
0.0272424,-0.00261505
0.0274922,-0.00270378
0.0277405,-0.00279774
0.0279864,-0.00289654
0.0282309,-0.00300064
0.0284722,-0.00310928
0.0287126,-0.00322342
0.0289491,-0.00334167
0.0291849,-0.00346571
0.029416,-0.00359333
0.0296465,-0.00372685
0.0298723,-0.00386385
0.030097,-0.00400653
0.0303173,-0.00415279
0.0305357,-0.00430434
0.0307501,-0.00445967
0.0309619,-0.0046198
0.0311701,-0.004784
0.0313749,-0.00495237
0.0315766,-0.00512525
0.0317739,-0.00530151
0.0319689,-0.00548288
0.0321585,-0.00566666
0.0323463,-0.00585631
0.0325278,-0.0060472
0.0327083,-0.00624495
0.0328813,-0.00644253
0.0330535,-0.00664741
0.0332185,-0.00685199
0.0333819,-0.00706333
0.0335387,-0.00727492
0.033693,-0.00749226
0.0338414,-0.00771064
0.0339863,-0.00793349
0.0341262,-0.00815845
0.0342615,-0.00838629
0.0343925,-0.00861765
0.0345179,-0.00884993
0.03464,-0.00908752
0.0347552,-0.00932361
0.0348681,-0.00956733
0.0349731,-0.00980658
0.0350766,-0.0100564
0.035171,-0.010298
0.0352644,-0.0105522
0.0353488,-0.0107971
0.0354315,-0.0110539
0.0355061,-0.0113031
0.0355779,-0.0115618
0.0356427,-0.011815
0.0357035,-0.0120747
0.0357583,-0.0123323
0.035808,-0.0125913
0.0358528,-0.0128537
0.0358912,-0.0131104
0.0359258,-0.0133791
0.0359531,-0.0136306
0.0359778,-0.0139085
0.0359957,-0.0141581
0.0360124,-0.0144438
0.0360249,-0.0147024
0.0360373,-0.0149771
0.0360492,-0.0152456
0.0360614,-0.0155091
0.0360745,-0.015777
0.0360878,-0.0160374
0.0361015,-0.0163023
0.0361151,-0.0165661
0.0361287,-0.0168307
0.0361421,-0.0170957
0.0361554,-0.017361
0.0361686,-0.0176265
0.0361817,-0.0178916
0.0361949,-0.018157
0.036208,-0.0184218
0.0362213,-0.018687
0.0362345,-0.0189516
0.0362478,-0.0192166
0.0362611,-0.0194816
0.0362743,-0.0197464
0.0362876,-0.0200115
0.0363009,-0.0202764
0.0363141,-0.0205415
0.0363273,-0.0208064
0.0363406,-0.0210714
0.0363538,-0.0213364
0.0363671,-0.0216014
0.0363803,-0.0218664
0.0363936,-0.0221313
0.0364068,-0.0223963
0.0364201,-0.0226613
0.0364333,-0.0229263
0.0364466,-0.0231912
0.0364598,-0.0234562
0.0364731,-0.0237212
0.0364863,-0.0239862
0.0364996,-0.0242511
0.0365128,-0.0245161
0.0365261,-0.0247811
0.0365393,-0.0250461
0.0365526,-0.0253111
0.0365658,-0.025576
0.0365791,-0.025841
0.0365923,-0.026106
0.0366056,-0.026371
0.0366188,-0.0266359
0.0366321,-0.0269009
0.0366453,-0.0271659
0.0366586,-0.0274309
0.0366718,-0.0276958
0.0366851,-0.0279608
0.0366983,-0.0282258
0.0367116,-0.0284908
0.0367248,-0.0287558
0.0367381,-0.0290207
0.0367513,-0.0292857
0.0367645,-0.0295507
0.0367778,-0.0298157
0.036791,-0.0300806
0.0368043,-0.0303456
0.0368175,-0.0306106
