 "tabcon", table of the Hertzian creep-force law (con93)
 Delft University of Technology
 Author: J.J. Kalker

   7     0   433         0     0   itab,idl,idr,il,ir
aob,upsx,upsy,phi  Fx,Fy,aM with  si=0.28,N=1,c=1,Ga=1.
   .1525E-07   .2591      -.9947    
   .1361E-07  -.1653E-01  -1.025    
   .1572E-07   .1750E-01  -1.025    
   .1628E-07   .5371E-01  -1.023    
   .1238E-07   .9216E-01  -1.021    
   .1250E-07   .1326      -1.016    
   .2258E-07   .1744      -1.010    
   .1111E-07   .2168      -1.003    
   .1543E-07   .2591      -.9947    
   0  160 a/b   upsx       upsy       phi          Fx          Fy         aM
   .2774E-07   .9996      -.3419E-01
  -.5559E-08   .9444       .3822    
  -.4309E-07   .8453       .6072    
  -.1587E-07   .7584       .7265    
  -.9069E-09   .6879       .7971    
   .1554E-08   .6306       .8427    
   .4829E-10   .5833       .8743    
   .1651E-07   .5431       .8974    
  -.1360E-07   .1653E-01   1.025    
  -.1232E-07   .1349       1.018    
  -.1061E-07   .2405       1.002    
  -.6691E-08   .3283       .9816    
  -.4436E-08   .3989       .9599    
  -.8418E-08   .4559       .9385    
  -.1595E-07   .5029       .9178    
  -.2333E-07   .5431       .8974    
  -.3938E-07   .9996      -.3419E-01
  -.2258E-07   .9176      -.4576    
  -.4277E-07   .7815      -.6891    
  -.2921E-08   .6632      -.8084    
  -.6181E-08   .5666      -.8766    
   .2427E-08   .4866      -.9197    
   .1531E-07   .4193      -.9494    
   .1365E-07   .3630      -.9692    
   .1360E-07  -.1653E-01  -1.025    
   .1803E-07   .3473E-01  -1.024    
   .1710E-07   .8816E-01  -1.021    
   .1111E-07   .1435      -1.016    
   .1425E-07   .2000      -1.008    
   .2032E-07   .2563      -.9970    
   .1149E-07   .3110      -.9841    
   .1464E-07   .3630      -.9692    
   0  192 a/b   upsx       upsy       phi          Fx          Fy         aM
  -.6651E-08   .9997      -.2800E-01
  -.1730E-07   .9605       .3254    
  -.6172E-08   .8790       .5466    
   .5713E-08   .8001       .6752    
   .5586E-08   .7326       .7548    
   .4089E-07   .6760       .8076    
   .2268E-07   .6284       .8446    
   .1136E-07   .5875       .8720    
  -.1360E-07   .1653E-01   1.025    
  -.1221E-07   .1513       1.016    
  -.1042E-07   .2693       .9963    
  -.7128E-08   .3646       .9714    
  -.6350E-08   .4389       .9456    
  -.9380E-08   .4979       .9204    
  -.1315E-07   .5463       .8960    
  -.1614E-07   .5875       .8720    
   .2636E-07   .9997      -.2800E-01
   .1511E-07   .9433      -.3863    
   .1532E-07   .8414      -.6135    
   .1191E-07   .7417      -.7443    
   .4660E-08   .6537      -.8243    
   .8551E-08   .5769      -.8768    
   .1135E-07   .5102      -.9128    
   .1369E-07   .4525      -.9385    
   .1360E-07  -.1653E-01  -1.025    
   .2047E-07   .5197E-01  -1.024    
   .1762E-07   .1225      -1.019    
   .1010E-07   .1941      -1.009    
   .1488E-07   .2650      -.9961    
   .1663E-07   .3330      -.9792    
   .1384E-07   .3958      -.9598    
   .9728E-08   .4525      -.9385    
   0  224 a/b   upsx       upsy       phi          Fx          Fy         aM
  -.1336E-07   .9998      -.2377E-01
   .1613E-07   .9705       .2828    
   .1090E-07   .9033       .4950    
   .8648E-08   .8327       .6283    
   .3940E-07   .7691       .7147    
   .2406E-07   .7142       .7735    
   .1402E-07   .6670       .8153    
   .7360E-08   .6260       .8465    
  -.1360E-07   .1653E-01   1.025    
  -.1211E-07   .1673       1.014    
  -.1018E-07   .2969       .9901    
  -.7278E-08   .3980       .9607    
  -.6775E-08   .4749       .9310    
  -.8124E-08   .5352       .9021    
  -.9348E-08   .5844       .8740    
  -.1003E-07   .6260       .8465    
   .1686E-07   .9998      -.2377E-01
  -.1649E-10   .9584      -.3338    
   .1457E-08   .8766      -.5514    
   .4759E-08   .7905      -.6877    
   .6344E-08   .7120      -.7749    
   .5731E-08   .6423      -.8338    
   .4367E-08   .5805      -.8754    
   .4065E-08   .5250      -.9063    
   .1360E-07  -.1653E-01  -1.025    
   .2294E-07   .6908E-01  -1.023    
   .1775E-07   .1563      -1.015    
   .9500E-08   .2430      -1.001    
   .1405E-07   .3259      -.9818    
   .1758E-07   .4017      -.9584    
   .1807E-07   .4681      -.9328    
   .1480E-07   .5250      -.9063    
   0  256 a/b   upsx       upsy       phi          Fx          Fy         aM
   .7456E-20   1.000      -.2304E-11
   .5507E-18   1.000       .2903E-10
   .1094E-17   1.000       .6036E-10
   .1637E-17   1.000       .9169E-10
   .2182E-17   1.000       .1231E-09
   .2725E-17   1.000       .1544E-09
   .3267E-17   1.000       .1856E-09
   .3810E-17   1.000       .2170E-09
  -.3122E-08   .6021       .8635    
   .2664E-16   1.000       .1534E-08
   .1332E-16   1.000       .7654E-09
   .8882E-17   1.000       .5095E-09
